Дата;Наименование препарата как у нас;Наименование препарата как у аптеки;Наименование АС;Ссылка на препарат;Город;Цена
24-03-2022;;Хондроитин велфарм капс. 250мг №60 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;476.70
24-03-2022;;Хондроксид гель 5% 30г (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;360.20
24-03-2022;;Элокс-солофарм р-р д/и/в/м 10мг/мл амп 1,5мл №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;367.00
24-03-2022;;Мелоксикам таб 15мг №20 /канонфарма/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;74.80
24-03-2022;;Мелоксикам-акрихин р-р д/и/в/м 10мг/мл 1,5мл амп №3 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;297.50
24-03-2022;;Мелоксикам таб 15мг №10 /вертекс/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;203.00
24-03-2022;;Мовалис р-р д/и/в/м 15мг 1,5мл амп №3 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;748.90
24-03-2022;;Мелоксикам-тева таб 15мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;287.90
24-03-2022;;Мелоксикам р-р /д/и/в/м 10мг/мл 1,5мл амп №3 /озон/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;181.70
24-03-2022;;Мелоксикам таб 15мг №20 /озон/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;131.20
24-03-2022;;Мовалис р-р д/и/в/м 15мг 1,5мл амп №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;1 009.00
24-03-2022;;Артрозан р-р д/и/в/м 6мг/мл 2,5мл ампулы полимерные №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;418.30
24-03-2022;;Мелоксикам таб 15мг №20 /вертекс/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;267.00
24-03-2022;;Мелоксикам таб 7,5мг №20 /озон/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;94.60
24-03-2022;;Артрозан р-р д/и/в/м 6мг/мл 2,5мл ампулы полимерные №10 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;604.10
24-03-2022;;Мелоксикам-акрихин р-р д/и/в/м 10мг/мл 1,5мл амп №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;492.60
24-03-2022;;Мовалис таб 15мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B5%D0%BD%D0%B8%D1%82%D1%80%D0%BE%D0%BD;Живика;854.70
24-03-2022;;Гиалуром CS р-р д/и в/суст. 0,06/3мл + 0,09/3мл шприц №1;Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B8%D0%B0%D0%BB%D1%83%D1%80%D0%BE%D0%BC;Живика;12 850.00
24-03-2022;;Гиалуром р-р д/и в/суст. 1,5% 2мл шприц №1;Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B8%D0%B0%D0%BB%D1%83%D1%80%D0%BE%D0%BC;Живика;7 342.10
24-03-2022;;Гиалуром тендон р-р д/и/околосухожильн/в/суст. 40мг/2мл шприц №1;Живика;https://zhivika.ru/search/resultPage?searchString=%D0%93%D0%B8%D0%B0%D0%BB%D1%83%D1%80%D0%BE%D0%BC;Живика;8 751.00
24-03-2022;;Инъектран р-р д/и/в/м 100мг/мл 2мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;1 592.00
24-03-2022;;Мукосат р-р д/и/в/м 10% 2мл амп №5 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;787.80
24-03-2022;;Драстоп р-р д/и/в/м 100мг/мл 2мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;1 166.00
24-03-2022;;Хондрогард р-р д/и/в/м/в/с 100мг/мл 1мл №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;907.00
24-03-2022;;Хондрогард р-р д/и/в/м/в/с 100мг/мл 2мл №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;1 728.30
24-03-2022;;Хондрогард р-р д/и/в/м/в/с 100мг/мл 2мл №25 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;2 776.70
24-03-2022;;Хондролон пор-к д/и/в/м 100мг амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;539.90
24-03-2022;;Хондроксид мазь 5% 30г туба (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;347.00
24-03-2022;;Хонсат р-р д/и/в/м 100мг/мл 1мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;688.30
24-03-2022;;Структум капс. 500мг №60 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;1 833.00
24-03-2022;;Артогистан р-р д/и/в/м 100мг/мл 2мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;1 320.00
24-03-2022;;Хондроитин-акос мазь 5% 50г туба /синтез/ (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;289.70
24-03-2022;;Мукосат р-р д/и/в/м 100мг/мл 1мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;888.70
24-03-2022;;Хондроитин гель 5% 30г туба /вертекс/ (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;218.00
24-03-2022;;Артогистан р-р д/и/в/м 100мг/мл 1мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;759.00
24-03-2022;;Хондроитин велфарм капс. 250мг №60 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%98%D0%BD%D1%8A%D0%B5%D0%BA%D1%82%D1%80%D0%B0%D0%BD;Живика;476.70
24-03-2022;;Мелоксикам таб 15мг №20 /канонфарма/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;74.80
24-03-2022;;Мелоксикам-акрихин р-р д/и/в/м 10мг/мл 1,5мл амп №3 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;297.50
24-03-2022;;Мелоксикам таб 15мг №10 /вертекс/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;203.00
24-03-2022;;Мелоксикам-тева таб 15мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;287.90
24-03-2022;;Мелоксикам р-р /д/и/в/м 10мг/мл 1,5мл амп №3 /озон/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;181.70
24-03-2022;;Мелоксикам таб 15мг №20 /озон/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;131.20
24-03-2022;;Мелоксикам таб 15мг №20 /вертекс/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;267.00
24-03-2022;;Мелоксикам таб 7,5мг №20 /озон/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;94.60
24-03-2022;;Мелоксикам-акрихин р-р д/и/в/м 10мг/мл 1,5мл амп №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;492.60
24-03-2022;;Мелоксикам таб 7,5мг №20 /вертекс/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;206.00
24-03-2022;;Мелоксикам-акрихин таб 7,5мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;97.50
24-03-2022;;Мелоксикам канон гель д/наруж.прим. 1% 30г (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;146.00
24-03-2022;;Мелоксикам-тева таб 15мг №10 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;195.90
24-03-2022;;Мелоксикам канон гель д/наруж.прим. 1% 50г (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;229.20
24-03-2022;;Мелоксикам таб 7,5мг №20 /канонфарма/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;74.80
24-03-2022;;Элокс-солофарм р-р д/и/в/м 10мг/мл амп 1,5мл №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;367.00
24-03-2022;;Мовалис р-р д/и/в/м 15мг 1,5мл амп №3 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;748.90
24-03-2022;;Мовалис р-р д/и/в/м 15мг 1,5мл амп №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;1 009.00
24-03-2022;;Артрозан р-р д/и/в/м 6мг/мл 2,5мл ампулы полимерные №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;418.30
24-03-2022;;Артрозан р-р д/и/в/м 6мг/мл 2,5мл ампулы полимерные №10 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;604.10
24-03-2022;;Артраксикам крем д/наруж.прим. 30мг/г + 100мг/г 30г туба (Мелоксикам + Перца стручкового плодов настойка);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;363.00
24-03-2022;;Мовалис таб 15мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;854.70
24-03-2022;;Мовалис таб 15мг №10 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;541.00
24-03-2022;;Мовалис таб 7,5мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;673.00
24-03-2022;;Амелотекс супп. 15мг №6 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;317.30
24-03-2022;;Амелотекс супп. 7,5мг №6 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;160.90
24-03-2022;;Амелотекс гель 1% 30г (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;200.80
24-03-2022;;Артрозан р-р д/и/в/м 6мг/мл 2,5мл амп №10 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;503.70
24-03-2022;;Амелотекс гель 1% 50г (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;342.90
24-03-2022;;Артрозан таб 15мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;353.90
24-03-2022;;Артрозан таб 15мг №10 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;194.40
24-03-2022;;Терафлекс хондрокрем форте крем д/наруж.прим. 100г (Мелоксикам + Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;540.00
24-03-2022;;Терафлекс хондрокрем форте крем д/наруж.прим. 50г (Мелоксикам + Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;348.00
24-03-2022;;Артраксикам крем д/наруж.прим. 30мг/г + 100мг/г 50г туба (Мелоксикам + Перца стручкового плодов настойка);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;565.00
24-03-2022;;Матарен плюс крем 50г (Мелоксикам + Перца стручкового плодов настойка);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;504.40
24-03-2022;;Матарен плюс крем 30г (Мелоксикам + Перца стручкового плодов настойка);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%9C%D0%B5%D0%BB%D0%BE%D0%BA%D1%81%D0%B8%D0%BA%D0%B0%D0%BC;Живика;309.70
24-03-2022;;Мовалис р-р д/и/в/м 15мг 1,5мл амп №3 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;748.90
24-03-2022;;Мовалис р-р д/и/в/м 15мг 1,5мл амп №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;1 009.00
24-03-2022;;Мовалис таб 15мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;854.70
24-03-2022;;Мовалис таб 15мг №10 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;541.00
24-03-2022;;Мовалис таб 7,5мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;673.00
24-03-2022;;Элокс-солофарм р-р д/и/в/м 10мг/мл амп 1,5мл №5 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;367.00
24-03-2022;;Мелоксикам таб 15мг №20 /канонфарма/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;74.80
24-03-2022;;Мелоксикам-акрихин р-р д/и/в/м 10мг/мл 1,5мл амп №3 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;297.50
24-03-2022;;Мелоксикам таб 15мг №10 /вертекс/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;203.00
24-03-2022;;Мелоксикам-тева таб 15мг №20 (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;287.90
24-03-2022;;Мелоксикам р-р /д/и/в/м 10мг/мл 1,5мл амп №3 /озон/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;181.70
24-03-2022;;Мелоксикам таб 15мг №20 /озон/ (Мелоксикам);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%BC%D0%BE%D0%B2%D0%B0%D0%BB%D0%B8%D1%81;Живика;131.20
