Дата;Наименование препарата как у нас;Наименование препарата как у аптеки;Наименование АС;Ссылка на препарат;Город;Цена
24-03-2022;;Chicco прокладки для груди антибактериальные 30 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;1 056 ₽
24-03-2022;;Sanosan средство для купания 2 в 1 Pure & sensitive 200 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;935 ₽
24-03-2022;;Elleair Lotion Tissue Herbs салфетки 160 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;631 ₽
24-03-2022;;Sanosan детская присыпка 100 г;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;857 ₽
24-03-2022;;Canpol Basic молокоотсос ручной с принадлежностями;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;2 516 ₽
24-03-2022;;Sanosan детский крем Pure & Sensitive 100 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;955 ₽
24-03-2022;;Elleair lotion tissue салфетки 200 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;1 030 ₽
24-03-2022;;Elleair платочки 6 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;496 ₽
24-03-2022;;Canpol Basic пустышка анатомическая латексная 0-6 мес;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;207 ₽
24-03-2022;;Elleair lotion tissue салфетки 4 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;524 ₽
24-03-2022;;Elleair water платочки 4 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;480 ₽
24-03-2022;;Chicco ножницы с закругленными концами голубые 0+;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;1 060 ₽
24-03-2022;;Canpol пустышка анатомическая латексная toys 0-6 месяцев;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;493 ₽
24-03-2022;;Elleair water салфетки 180 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;456 ₽
24-03-2022;;Sanosan средство для купания и шампунь 500 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;859 ₽
24-03-2022;;Напальчники латексные 20 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;99 ₽
24-03-2022;;Sanosan крем-гель для купания 200 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;772 ₽
24-03-2022;;Elleair lotion tissue herbs салфетки 4 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;521 ₽
24-03-2022;;Elleair cotton feel салфетки 160 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;311 ₽
24-03-2022;;Elleair cotton feel платочки 6 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;458 ₽
24-03-2022;;корсет орт lumbostarжен рxl dbs4000w;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;4 969 ₽
24-03-2022;;ОРЛЕТТ КОРСЕТ ОРТ.ПОЯС LSS-114 S/БЕЖ;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;3 763 ₽
24-03-2022;;КОРСЕТ орт. КО- ТРИВЕС  Т-1565 (S, беж);36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 600 ₽
24-03-2022;;ОРЛЕТТ КОРСЕТ ОРТ.С 4-Ю РЕБРАМИ ЖЕСТКОСТ;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;3 687 ₽
24-03-2022;;бандаж орт.на брюшную стенку xs ав309;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;2 904 ₽
24-03-2022;;ОРЛЕТТ КОРСЕТ ОРТ.ПОЯС-КРЕСЦ С МАС.П;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;6 500 ₽
24-03-2022;;КОРРЕКТОР ОСАНКИ ОРТ TLSO250А РL беж;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;2 999 ₽
24-03-2022;;B.Well гольфы 2 класс компрессии JW-121 (3 natural);36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;2 862 ₽
24-03-2022;;ОРЛЕТТ б-ж ОРТ.ФИКСИРУЮЩИЙ S БЕЖЕВ MS-96;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 900 ₽
24-03-2022;;Рокс про паста зубн. брэкеты и орто 135г;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;925 ₽
24-03-2022;;ОРЛЕТТ Б-Ж ОРТ.ФИКС ХL БЕЖЕВ MS-96;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;2 150 ₽
24-03-2022;;БВЕЛЛ ОРТ КОРРЕКТОР ОСАНКИ W132 P S беж;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;2 098 ₽
24-03-2022;;Атлетика комф-орт пояс послеоперационный р.4 к-604;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;618 ₽
24-03-2022;;БВЕЛЛ ОРТ БЖ НА КОЛЕННЫЙ СУСТАВ W3314 S;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 902 ₽
24-03-2022;;Педаг/ортманн стельки ортопедич. viva р35 187;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 461 ₽
24-03-2022;;Тривес корсет ортопедический  Т-1565 (XL, беж);36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 600 ₽
24-03-2022;;Fresco стельки ортопедические силиконовые leda S;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 454 ₽
24-03-2022;;Pedag  Siesta стельки ортопедические р. 36;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 100 ₽
24-03-2022;;Ortmann  Dans F-00020-01 приспособление ортопедическое;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 743 ₽
24-03-2022;;БВЕЛЛ ОРТ Б-Ж КОСЫНОЧНЫЙ НА РУКУ W-211 L;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 866 ₽
24-03-2022;;Тигровый глаз орто пяточная шпора крем для ног 75мл;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;281 ₽
24-03-2022;;Т-1501 КОРСЕТ орт. Р7 ВЫСОТА 35 СМ.ЧЕРН.;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 959 ₽
24-03-2022;;БВЕЛЛ ОРТ Б-Ж Д/БЕРЕМ W-431 S БЕЖЕВЫЙ;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 982 ₽
24-03-2022;;Т-1501 КОРСЕТ орт. Р3 ВЫСОТА 29СМ.ЧЕРН.;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;2 500 ₽
24-03-2022;;Т-1502 КОРСЕТ орт. Р4 ВЫСОТА 35 СМ.ЧЕРН.;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;2 095 ₽
24-03-2022;;БВЕЛЛ ОРТ Б-Ж Д/БЕРЕМ W-431 XL БЕЖЕВЫЙ;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;2 082 ₽
24-03-2022;;Т-1502 КОРСЕТ орт. Р3 ВЫСОТА 29СМ.ЧЕРН.;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;2 465 ₽
24-03-2022;;Орлетт бандаж ортопедический на грудную клетку AB-206m р. S;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;1 138 ₽
24-03-2022;;корсет орт.с 6ю р/жест s беж ibs3006;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;3 300 ₽
24-03-2022;;корсет орт.с 6ю р/жест xs беж ibs3006;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%B2%D0%B8%D1%81%D0%BA+%D0%BE%D1%80%D1%82%D0%BE;Москва;3 300 ₽
24-03-2022;;Биопрост суппозитории ректальные  N10;36 и 6;https://366.ru/search/?text=%D0%B1%D0%B8%D0%BE%D0%BF%D0%BE%D1%80%D1%82;Москва;1 294 ₽
24-03-2022;;A-Derma Phys-AC флюид против дефектов кожи 40 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 925 ₽
24-03-2022;;Effiderm крем легкий 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;4 102 ₽
24-03-2022;;Avene Men флюид после бритья 75 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 736 ₽
24-03-2022;;Topicrem флюид успокаивающий 40 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 558 ₽
24-03-2022;;Weleda Матирующий флюид обеспечивает стойкий матовый эффект 30 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 725 ₽
24-03-2022;;La Roche-Posay Toleriane Ultra Fluide интенсивный успокаивающий уход 40 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;2 349 ₽
24-03-2022;;Eucerin Уреарепейр ориджинал очищающий флюид 400 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 914 ₽
24-03-2022;;Avene флюид увлажняющий матирующий 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 957 ₽
24-03-2022;;Lierac Diopticerne флюид осветляющий 15 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;3 583 ₽
24-03-2022;;Libre Derm Rose de Rose крем-флюид дневной 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 897 ₽
24-03-2022;;ТОПИКРЕМ АН3 ГЛОБАЛЬНЫЙ АНТИВОЗРАСТНОЙ ФЛЮИД40 МЛ;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;2 318 ₽
24-03-2022;;Avene солнцезащитный флюид спорт spf 50+ 100 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 698 ₽
24-03-2022;;Dr.Theiss антибактериальный флюид для рук 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;458 ₽
24-03-2022;;La Roche-Posay Anthelios Shaka флюид SPF 50 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;2 136 ₽
24-03-2022;;Lierac Homme Крем-флюид антивозрастной для мужчин 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;4 888 ₽
24-03-2022;;La Roche-Posay Anthelios Shaka флюид тонирующий SPF50+/PPD 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;2 339 ₽
24-03-2022;;Avene флюид солнцезащитный без отдушек SPF 50+ 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 952 ₽
24-03-2022;;Filorga Age-Purify Fluide Double Corrector корректирующий флюид двойного действия 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;6 101 ₽
24-03-2022;;Avene флюид солнцезащитный с тональным эффектом SPF 50+ 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 785 ₽
24-03-2022;;Avene флюид для снятия макияжа 3 в 1 200 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 570 ₽
24-03-2022;;Avene солнцезащитный флюид для проблемной кожи SPF 50+ 50 мл;36 и 6;https://366.ru/search/?text=%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BD+%D1%84%D0%BB%D1%8E%D0%B8%D0%B4;Москва;1 701 ₽
